City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,3.6,US,1718806341
1,west bay,19.3667,-81.4167,30.03,80,97,6.86,KY,1718806341
2,revda,56.801,59.9303,26.69,63,11,2.54,RU,1718806342
3,adamstown,-25.066,-130.1015,22.24,86,100,10.12,PN,1718806342
4,waitangi,-43.9535,-176.5597,8.79,65,100,5.78,NZ,1718806342
5,fortuna,40.5982,-124.1573,10.19,97,100,0.0,US,1718806342
6,west island,-12.1568,96.8225,27.99,83,75,7.72,CC,1718806343
7,medina,24.4686,39.6142,45.24,4,20,5.14,SA,1718806343
8,rongelap,11.1635,166.8941,28.27,78,2,7.31,MH,1718806343
9,bilibino,68.0546,166.4372,12.12,46,34,2.74,RU,1718806343
10,mount gambier,-37.8333,140.7667,6.49,83,97,3.29,AU,1718806343
11,enewetak,11.3474,162.3373,28.23,78,20,7.4,MH,1718806344
12,port lincoln,-34.7333,135.8667,12.66,66,74,9.33,AU,1718806344
13,ushuaia,-54.8,-68.3,-3.21,93,100,0.95,AR,1718806344
14,victoria,22.2855,114.1577,30.74,84,100,2.24,HK,1718806169
15,bethel,41.3712,-73.414,29.08,70,0,3.6,US,1718806344
16,port-aux-francais,-49.35,70.2167,3.51,73,68,5.54,TF,1718806344
17,puerto natales,-51.7236,-72.4875,-7.75,86,20,3.09,CL,1718806345
18,isheyevka,54.4167,48.2667,21.11,79,51,7.23,RU,1718806345
19,kailua-kona,19.6406,-155.9956,24.22,86,0,1.54,US,1718806284
20,nova sintra,14.8667,-24.7167,24.68,80,100,5.2,CV,1718806345
21,tiksi,71.6872,128.8694,1.46,87,51,1.76,RU,1718806345
22,qaqortoq,60.7167,-46.0333,4.46,83,100,2.34,GL,1718806345
23,antsiranana,-12.2787,49.2917,25.18,67,4,9.41,MG,1718806346
24,cranbrook,49.4999,-115.7688,7.76,85,80,0.74,CA,1718806132
25,fuding,27.3273,120.214,25.01,99,100,0.43,CN,1718806346
26,invercargill,-46.4,168.35,3.9,82,100,1.79,NZ,1718806346
27,jamestown,42.097,-79.2353,27.77,88,0,3.6,US,1718806347
28,edinburgh of the seven seas,-37.0676,-12.3116,13.67,86,94,9.09,SH,1718806347
29,college,64.8569,-147.8028,16.2,71,75,2.06,US,1718806347
30,iqaluit,63.7506,-68.5145,1.5,79,100,2.24,CA,1718806347
31,saint-pierre,-21.3393,55.4781,22.82,60,75,7.72,RE,1718806347
32,hithadhoo,-0.6,73.0833,28.67,69,23,1.85,MV,1718806347
33,bredasdorp,-34.5322,20.0403,15.52,59,46,2.42,ZA,1718806348
34,kharkhorin,47.1975,102.8238,14.94,79,100,0.96,MN,1718806348
35,trincomalee,8.5711,81.2335,29.4,70,100,7.56,LK,1718806086
36,blackmans bay,-43.0167,147.3167,7.07,92,97,2.53,AU,1718806348
37,klyuchi,52.2667,79.1667,19.5,44,65,1.86,RU,1718806348
38,khorinsk,52.1657,109.7726,18.02,62,100,3.43,RU,1718806349
39,guerrero negro,27.9769,-114.0611,16.77,85,0,4.82,MX,1718806117
40,albany,42.6001,-73.9662,29.8,75,100,0.45,US,1718806349
41,kingston,17.997,-76.7936,30.65,71,22,1.99,JM,1718806061
42,whitehorse,60.7161,-135.0538,11.17,74,45,1.64,CA,1718806349
43,la'ie,21.6477,-157.9253,26.98,79,88,3.58,US,1718806349
44,margaret river,-33.95,115.0667,10.4,79,6,3.35,AU,1718806349
45,san patricio,28.017,-97.5169,26.97,97,100,4.44,US,1718806350
